input,code
manufacturing company chief executive officer,16
president goods production utilities transportation and construction,16
information systems vice president goods production utilities transportation and construction,16
petroleum production company regional vice president,16
sales vice president goods production utilities transportation and construction,16
assistant executive director goods production utilities transportation and construction,16
finance director,111
internal audit services manager,111
controller financial services,111
financial planning and reporting manager,111
pension plans administrator,111
treasurer and controller finances,111
financing and administration director,111
revenue accounting and controls section chief,111
financial manager,111
manager of accounting department,111
accounting and financial control director,111
auditing department manager,111
director treasurer financial services,111
director financial services,111
finance manager,111
financial evaluations director,111
financial planning and analysis manager,111
accounting manager financial services department,111
group accounting manager,111
manager of auditing department,111
assistant accounting manager,111
audit and compliance director,111
financial control manager,111
investments research director,111
financial planning and reporting director,111
accounting office manager,111
internal audit manager,111
financial planning and advisory service manager,111
pension services manager,111
assistant treasurer finances,111
treasurer,111
assigned public accountants chief,111
collections department manager,111
financial director,111
corporate budgeting and analysis manager,111
accounting department manager,111
financial controller,111
financial administrator,111
accounting manager,111
accounting director,111
corporate risk department manager,111
financial resources service co ordinator,111
corporate controller,111
financial audit manager,111
finance and control manager,111
independent public accountants chief,111
accounting and financial control chief,111
comptroller,111
budget and sectoral profitability director,111
director of accounting,111
regional controller financial services,111
finance chief,111
corporate financing manager,111
staff relations chief,112
human resources development and planning director,112
official languages chief,112
personnel chief,112
staffing chief,112
occupational health and safety director,112
labour relations manager,112
personnel manager,112
human resources manager,112
staff training and development manager,112
human resources management director,112
benefits manager,112
occupational health and safety manager,112
human resources planning manager,112
personnel administration manager,112
wage and salary administration manager,112
labour relations director,112
employer employee relations manager,112
industrial relations manager,112
classification and compensation chief,112
training chief,112
personnel director,112
disability management program manager,112
personnel training and development manager,112
employment equity director human resources,112
employee benefits director,112
official languages manager,112
recruiting manager,112
personnel services manager,112
pensions and benefits manager,112
staff relations manager,112
salary research and administration manager,112
vocational training director human resources,112
staff training and development chief,112
chief safety officer occupational health and safety,112
pay and benefits manager,112
occupational training director human resources,112
employment equity chief,112
pay processing division director government services,112
training and development manager,112
employee benefits manager,112
personnel services director,112
health and safety co ordinator,112
personnel and industrial relations director,112
human resources director,112
employment manager,112
compensation manager,112
pay and benefits director,112
recruiting director,112
language training director,112
job evaluation and salary research manager,112
human resources development director,112
staff training co ordinator,112
employment equity manager human resources,112
human resources administrator,112
pay services director human resources,112
clothing purchasing director,113
hardware purchasing director,113
purchasing manager,113
electronic components purchasing director,113
equipment manager,113
contract manager,113
supply chain logistics manager,113
food purchasing director,113
purchasing chief,113
material and services purchasing manager,113
supply management director,113
purchasing director,113
hardware purchasing manager,113
purchasing contracts manager,113
purchasing contracts director,113
supply chief,113
electronic components purchasing chief,113
electronic components purchasing manager,113
material manager,113
procurement operations director,113
merchandise purchasing director,113
supply chain manager,113
supply chain director,113
building supplies purchasing manager,113
clothing purchasing manager,113
procurement manager,113
food purchasing manager,113
supply service chief,113
office equipment purchasing manager,113
procurement director,113
merchandise purchasing manager,113
contract director,113
office manager non profit organization,114
operations chief,114
inventory manager,114
legal department director,114
administration and property management services director,114
organizational rules analysis manager,114
administrative records department manager,114
support services administrative manager,114
accounting records manager,114
administrative services director,114
inventory control manager,114
operations manager administrative services,114
branch manager administration,114
security manager,114
business manager non profit organization,114
administrative manager,114
medical records manager,114
administrative services chief,114
material control manager,114
operations director administrative services,114
finance and administration director,114
records management services manager,114
records manager,114
financial and administrative services chief,114
planning and organizational development manager,114
regional administrative manager,114
organization rules analysis manager,114
chartered secretary management,114
legal department chief,114
management services division chief,114
health records administrator,114
administrative services manager,114
security department manager,114
division administrative manager,114
medical records department manager,114
records administrator,114
hospital admissions director,114
chartered administrator management,114
account records manager,114
managing director,114
administrative support services manager,114
buildings vehicles and supplies manager,114
admissions director health care,114
operational planning director,114
support services manager,114
surveillance department manager casino,114
patient registration manager,114
administrative records manager,114
brokerage manager investments,121
commission brokers manager investments,121
business development manager damage insurance,121
mortgage broker manager,121
real estate sales manager,121
real estate sales district manager,121
futures research services manager,121
real estate agents managing supervisor,121
real estate sales managing director,121
real estate national sales manager,121
real estate service manager,121
securities and investment manager,121
securities manager,121
insurance sales manager,121
leasing manager real estate,121
futures research manager,121
bond sales manager,121
financial brokerage manager,121
commodities trading manager,121
insurance manager,121
insurance benefits executive director,121
underwriting department manager,121
liability trading manager,121
real estate developer,121
petroleum research manager securities,121
insurance claims service manager,121
real estate office manager,121
branch manager insurance,121
securities research director,121
investment manager financial brokerage,121
trading floor manager,121
grain trading manager,121
securities sales director,121
securities research manager,121
investment director financial brokerage,121
insurance regional manager,121
real estate broker,121
insurance managing director,121
mutual funds manager financial brokerage,121
insurance sales district manager,121
real estate branch manager,121
collection manager,122
banking operations manager,122
trust company branch manager,122
personal trust manager,122
collection centre manager,122
regional collection manager,122
credit approval and market development manager,122
trust company investment manager,122
commercial attachã©,122
area manager banking credit and investment,122
accounts manager banking credit and investment,122
financial services manager,122
commercial banking manager,122
international banking manager,122
regional bank manager,122
assistant corporate banking services manager,122
bank director,122
credit and collection manager,122
mortgage manager,122
regional credit manager,122
branch manager banking credit and investment,122
credit and accounts manager,122
loans manager trainee,122
collection manager bank or trust company,122
commercial mortgages manager,122
banking accounts manager,122
credit manager,122
operations manager banking credit and investment,122
personal services manager banking credit and investment,122
trust company manager,122
assistant branch manager banking credit and investment,122
corporate banking centre manager,122
senior accounts manager banking credit and investment,122
branch administrative manager banking credit and investment,122
bank manager,122
loan and credit manager banking or trust company,122
investment manager bank or trust company,122
consumer credit services manager trainee,122
mortgage and consumer credit manager,122
bank branch manager,122
assistant consumer credit manager,122
credit area co ordinator,122
assistant regional manager banking,122
credit union manager,122
investment manager banking credit and investment,122
credit and collection department manager,122
senior manager personal financial services,122
assistant operations manager banking credit and investment,122
assistant credit manager,122
loans manager,122
corporate services manager banking credit and investment,122
credit card company operations manager,122
corporate accounts manager banking credit and investment,122
corporate trust services manager,122
consumer credit management trainee,122
commercial mortgages accounts manager,122
credit card centre manager,122
electronic commerce manager,124
publicity manager,124
regional communications director,124
sales director computer marketing development,124
media relations manager,124
sales agency marketing division director,124
web marketing manager,124
sales and marketing manager,124
graphic design firm manager,124
communications manager,124
public affairs director,124
advertising agency manager,124
web communications manager,124
sales and marketing director,124
advertising manager,124
marketing director,124
agency marketing department manager,124
fundraising campaign manager,124
circulation manager,124
public relations manager,124
communications director,124
online marketing manager,124
internet site manager,124
correspondence and public inquiries manager,124
communications director sales and marketing,124
sales and advertising manager,124
internet communications manager,124
election campaign manager,124
advertising administrator,124
corporate affairs manager,124
electronic commerce  manager,124
external relations director,124
communications manager public relations,124
e business manager,124
public relations director,124
media advertising manager,124
publicity director,124
business manager sales and advertising,124
electronic business  manager,124
marketing executive,124
e commerce manager,124
channel marketing manager,124
media relations director,124
promotions manager,124
sales and publicity manager,124
electronic business manager,124
publicity administrator,124
manager marketing services,124
information service manager,124
campaign manager,124
market development manager,124
advertising director,124
marketing manager,124
commercial network development manager,124
public information director,124
information and communications manager,124
sales promotion manager,124
organizational methods analysis director,125
management services division head business services,125
auditing firm manager,125
market research service manager,125
accounting firm manager,125
customs manager business services,125
private investigation and security service manager,125
management consulting service manager,125
organizational methods analysis manager,125
audit firm manager,125
conference services manager,125
detective agency manager,125
land contracts manager,125
energy asset joint venture manager,125
employment agency manager,125
placement office manager,125
contact centre manager,125
survey research service manager,125
conference development manager,125
methods and procedures manager,125
personnel consulting service manager,125
accounting firm manager business services,125
placement agency manager,125
well and facilities asset manager,125
professional services manager business services,125
employment office manager,125
surface land administration manager,125
legal firm manager,125
mineral land and contract manager,125
nursing registry manager,125
organizational methods analysis director business services,125
mineral land administration manager,125
organizational planning and development director,125
security service manager,125
payroll service manager,125
call centre manager,125
personnel agency manager,125
organizational services head,125
installation superintendent telecommunications,131
earth station manager telecommunications,131
operations manager telecommunications,131
microwave facilities manager telecommunications,131
telecommunications installation manager,131
surveillance manager telecommunications,131
equipment chief telecommunications,131
telecommunications department manager,131
telecommunications manager,131
operations and transmission services manager telecommunications,131
telecommunications facilities manager,131
co ordinator of technical services telecommunications,131
networks manager telecommunications,131
telephone company district manager,131
network services manager telecommunications,131
transmission traffic manager telecommunications,131
telecommunications services manager,131
traffic manager cable systems,131
network conduct centre assistant manager,131
regional manager telecommunications system,131
switching systems director telecommunications,131
dial plant superintendent telecommunications,131
production manager telecommunications,131
network operations manager telecommunications,131
technical services manager,131
dial plant manager telecommunications,131
space programs manager telecommunications,131
traffic manager telephone system,131
network traffic manager telecommunications,131
traffic chief telecommunications,131
network installation manager telecommunications,131
district manager telecommunications,131
technical services co ordinator telecommunications,131
post office manager,132
plant operations manager postal service,132
postal area manager,132
area manager postal service,132
commercial development manager postal and courier services,132
field service manager postal and courier services,132
courier service manager,132
mail processing plant manager,132
parcel processing plant manager,132
mail processing plant superintendent,132
messenger service manager,132
plant manager postal and courier services,132
mail operations manager,132
postal station superintendent,132
postal zone facilities manager,132
plant superintendent postal and courier services,132
postal zone manager,132
collection and delivery operations manager postal service,132
district post office director,132
delivery service manager postal and courier services,132
production control manager postal service,132
regional services manager postal and courier services,132
engineering service superintendent,211
mechanical engineering service manager,211
aerospace engineering service head,211
engineering service quality control manager,211
industrial engineering department manager,211
engineering service safety service director,211
telecommunications engineering service manager,211
engineering service group manager,211
civil engineering division manager,211
engineering service quality assurance director,211
engineering service quality control department director,211
engineering delivery chief,211
engineering service manager,211
traffic engineering service manager telecommunications,211
engineering department manager,211
engineering research and development director,211
production engineering manager,211
engineering service quality assurance manager,211
engineering service project manager,211
engineering manager,211
engineering service quality system manager,211
electrical engineering service manager,211
research director mining,212
research director manufacturing,212
chemical research division manager,212
mathematics department director,212
research and development manager,212
quality control manager pharmaceutical products,212
director of architecture,212
director of research manufacturing,212
oceanographic research director,212
rural development manager,212
livestock production programs manager,212
urban planning and development assistant director government services,212
geological manager,212
clinical projects manager,212
quality control director chemistry,212
physical sciences program manager,212
manufacturing research director,212
mining research director,212
scientific research director,212
statistical service manager,212
scientific research manager,212
mathematical services manager,212
life sciences program manager,212
agricultural representatives regional manager,212
urban planning and renewal director government services,212
urban planning and development director government services,212
statistical department director,212
environmental science manager,212
project management chief scientific affairs,212
architectural manager,212
chief actuary,212
research director forestry,212
zoological park director,212
architectural service manager,212
landscape architecture manager,212
agricultural representatives director,212
quality assurance manager cannabis,212
agricultural chemistry branch director,212
chemical manager,212
geochemical manager,212
actuarial department manager,212
director of research forestry,212
petroleum geology department manager,212
experimental farm superintendent,212
ecology manager,212
laboratory director,212
livestock development manager,212
livestock program development manager,212
biological research department chief,212
mathematics program manager,212
zoological garden director,212
geophysical manager,212
natural sciences program manager,212
scientific research department manager,212
ecological research manager,212
director of research mining,212
rural development program manager,212
laboratory manager,212
communication systems design manager,213
computer applications manager,213
computer programs manager,213
computerized information systems manager,213
data processing and systems analysis manager,213
computer and related services manager,213
computer systems integration manager,213
software engineering director,213
information systems manager,213
data processing planning manager,213
information technology  development manager,213
director of technology management,213
systems implementation manager,213
computer system operations manager,213
computer systems development manager,213
network design manager,213
systems development manager,213
data processing director,213
computer networks manager,213
management information system  manager,213
data processing manager,213
electronic data processing  manager,213
computer legacy systems manager,213
computer facility manager,213
computer department co ordinator,213
computer development division head,213
computer software design manager,213
computer systems manager,213
computer manager,213
data centre manager,213
computer application development manager,213
information systems development director,213
software development manager,213
information systems operations director,213
help desk manager information technology,213
computer projects manager,213
information technology  implementation manager,213
software engineering manager,213
information technology  integration manager,213
internet systems administrator,213
computerized technical information manager,213
chief of occupational therapy,311
podiatric clinic manager,311
chief of rheumatology,311
chief of nephrology,311
nursing services administrator,311
director of nursing medical services,311
first aid services director,311
mental health residential care program manager,311
chief of infectious diseases,311
chief of operating area,311
director of clinical medicine,311
assistant director of nursing,311
chief of endocrinology,311
behaviour therapy services director,311
chief of pharmacy,311
public health nursing services director,311
chief of medicine,311
chief of surgery,311
director of laboratory medicine,311
medical director,311
chief of obstetrics and gynecology,311
dental laboratory managing supervisor,311
rehabilitation services director,311
chief of laboratory medicine,311
chief of staff hospital,311
pharmacy director,311
chief of anesthesia,311
assistant director of nursing services,311
chief of housing activities,311
chief radiology technologist,311
medical clinic director,311
nursing unit administrator,311
red cross first aid director,311
director of surgery,311
chief dietitian,311
chief of medical staff,311
director of audiology and speech language pathology,311
chief of pediatrics,311
chief of emergency medicine,311
chief of anatomical pathology,311
chief of psychology,311
home care services director medical services,311
nursing services assistant administrator,311
chief of psychiatry,311
director of professional services medical services,311
chief of cardiology,311
chief of pathology,311
director of dietetics,311
therapeutic services administrator,311
director of psychology health care,311
chief of neurology,311
assistant administrator for nursing,311
director of occupational therapy,311
therapeutic services director psychiatric hospital,311
chief of diagnostic radiology,311
blood bank administrator,311
nursing care manager medical services,311
clinical services manager,311
chief of audiology and speech language pathology,311
chief of physiotherapy,311
chief of dermatology,311
chief of respirology,311
director of physiotherapy,311
psychology director health care,311
chief of diagnostic imaging,311
nursing services manager medical services,311
chief of ophthalmology,311
chief of urology,311
dental health services administrator,311
chief of hematology,311
occupational health services director,311
assistant nursing services administrator,311
chief of gastro enterology,311
nursing services director medical services,311
therapeutic services director,311
rehabilitation services director medical services,311
chief of biomedical engineering service,311
chief of radiation oncology,311
food safety programs manager government services,411
health and welfare manager government services,411
social work director government services,411
rural and aboriginal housing regional manager government services,411
health services director government services,411
vocational training director government services,411
district manager employment insurance,411
occupational training director government services,411
office of health promotion chief government services,411
industrial hygiene and health director government services,411
traffic safety administrator government services,411
rural and native housing services district director government services,411
health information and promotion chief government services,411
health care insurance refund claims director government services,411
job training director government services,411
adjustment programs director government services,411
public health director,411
local health services director government services,411
employment centre director,411
social programs assistant director government services,411
apprenticeship training director government services,411
settlement programs director government services,411
child welfare regional manager government services,411
health promotion chief government services,411
assistant chief health inspector government services,411
career development and employment district director government services,411
welfare services director government services,411
administrative tribunal judge government services,411
vocational education director government services,411
labour demand analysis chief government services,411
survey research director government services,411
survey research manager government services,411
family services director government services,411
health information and promotion director government services,411
welfare services administration director government services,411
career information director government services,411
public administrator government services,411
social development programs chief government services,411
inquiries and services chief employment insurance,411
social services director government services,411
immigration appeals and litigation chief government services,411
community planning director government services,411
employment programs director government services,411
professional development and employment district director government services,411
social surveys director government services,411
income security district administrator government services,411
city medical officer of health government services,411
income security regional manager government services,411
home care services director government services,411
employment and insurance programs director government services,411
protection services director government services,411
rural and native housing regional manager government services,411
career development director government services,411
repayment and benefits control chief employment insurance,411
public health nursing educational director government services,411
immigration and settlement director government services,411
housing policy and development director government services,411
child welfare services manager government services,411
day care planning services director government services,411
health strategies manager government services,411
professional development director government services,411
regional pay centre chief employment insurance,411
immigration appeals manager government services,411
welfare services administrator government services,411
community rehabilitation manager government services,411
employment equity programs director government services,411
family benefits director government services,411
environmental health services director government services,411
public health municipal officer government services,411
family and children services director government services,411
claims and benefits control chief employment insurance,411
social programs administrator government services,411
social planning director government services,411
social services planning manager government services,411
health program operations manager government services,411
social services regional director government services,411
employment insurance regional manager government services,411
social programs development chief government services,411
apprenticeship training service director government services,411
housekeeping services director government services,411
mã©tis development programs regional director government services,411
rural and aboriginal housing services district director government services,411
labour regional director government services,411
rural housing programs director government services,411
health care insurance plan director government services,411
social services policy planning and research director government services,411
homemaker services director government services,411
health education director government services,411
immigration appeal division director government services,411
health programs assistant director government services,411
agricultural policy director government services,412
labour market analysis director government services,412
tax office chief,412
economic and political affairs assistant,412
tax policy research manager government services,412
energy market analysis director government services,412
agricultural products market development director government services,412
microeconomic policy development director government services,412
trade liaison director government services,412
fishery programs manager government services,412
customs manager government services,412
community economic development director government services,412
fishery policy director government services,412
economic policy analysis chief government services,412
realty taxation manager,412
forest resource analysis chief government services,412
economic development director government services,412
municipal taxation manager,412
export programs manager government services,412
tourism development director government services,412
international trade policy assistant director government services,412
regional economic services manager government services,412
regional taxation manager,412
goods and services tax  manager,412
grain market analysis chief,412
grain market analysis manager government services,412
international trade policy manager government services,412
tourism research manager government services,412
tourism development manager government services,412
agricultural programs manager government services,412
economic policy analysis assistant director government services,412
economic policy analysis director government services,412
transportation policy director government services,412
natural resources policy director government services,412
park superintendent government services,412
revenue programs chief,412
grain market analysis manager,412
commercial analysis director government services,412
border services manager,412
trade development director,412
tourism policy director,412
revenue programs manager government services,412
agricultural products market director,412
taxation programs director,412
market development director,412
forestry programs manager government services,412
farm products marketing director government services,412
tax policy chief,412
transportation programs manager government services,412
parks administration director,412
taxation manager,412
tourism promotion director government services,412
