Noc_code,job_title,group_title,lead_statement,main_duties,Emp_req,Exclusion
1521,billing rate clerk; cargo location clerk; delivery clerk; distribution clerk; export traffic clerk; export-booking clerk; freight checker; freight forwarding clerk; freight receiver; freight receiver clerk; freight receiving clerk; freight shipper; import freight clerk; import traffic clerk; milk and cream receiver-food and beverage processing; produce shipper; receiver; receiving checker; receiving clerk; receiving clerk for returned merchandise; receiving room clerk; shipper; shipper-receiver; shipping agent; shipping and receiving clerk; shipping clerk; stock handler; stock receiver; supercargo; supply chain assistant; warehouse receiver; warehouse shipper; warehouse shipping clerk; ,Shippers and receivers;,"Shippers and receivers ship, receive and record the movement of parts, supplies, materials, equipment and stock to and from an establishment. They are employed in the public sector and by retail and wholesale establishments, manufacturing companies, and other commercial and industrial establishments.;","Shippers and receivers perform some or all of the following duties:;Determine method of shipment and arrange shipping; prepare bills of lading, customs forms, invoices and other shipping documents manually or by computer;Assemble containers and crates, record contents manually or by computer, pack goods to be shipped and affix identifying information and shipping instructions;Oversee loading and unloading of goods from trucks or other conveyances;Inspect and verify incoming goods against invoices or other documents, record shortages and reject damaged goods;Unpack, code and route goods to appropriate storage areas;Maintain internal, manual or computerized record-keeping systems;May operate forklift, hand truck or other equipment to load, unload, transport and store goods.;",Completion of secondary school is usually required.;Experience in a related clerical occupation or as a warehouse worker may be required.;A forklift certificate may be required.;A driver's licence may be required.;,"Material handlers (7452);Purchasing and inventory control workers (1524);Storekeepers and partspersons (1522);Supervisors, supply chain, tracking and scheduling co-ordination occupations (1215);Import and export clerk (in 1452 Correspondence, publication and regulatory clerks);"
1522,ammunition storekeeper; auto parts clerk-retail; automobile parts counter sales clerk-retail; automotive parts clerk-retail; automotive partsperson-retail; automotive partsperson apprentice; aviation partsperson; drilling rig storekeeper; explosives and ammunition magazine keeper; industrial engines and equipment apprentice; industrial engines and equipment partsperson-retail; industrial warehouse person; linen room attendant; linen supply clerk; linenkeeper; machine shop keeper; magazine keeper; material keeper; medical supply attendant; medical supply clerk; motor vehicle parts clerk; motor vehicle parts clerk apprentice; motor vehicle partsperson; parts clerk; parts counter clerk; parts counter clerk-retail; parts lister; parts sorter; parts supplier; parts technician; partsperson; powder keeper; salvage clerk; sample clerk-storage and warehousing; sample control clerk; ship keeper; ship storekeeper; ship storeman/woman; stock clerk-parts and equipment; stock control clerk; stock keeper; stock records clerk; storekeeper; storeman/woman; supply centre clerk; tool clerk; tool room attendant; tool room storeman/woman; tool store clerk; underground tool crib attendant; warehouse checker; warehouse clerk-parts and equipment; warehouse person-parts and equipment; wine cellar attendant;  ship storeman; ship storewoman; storeman; storewoman; tool room storeman; tool room storewoman; ship storeman; ship storewoman; storeman; storewoman; tool room storeman; tool room storewoman;,Storekeepers and partspersons;,"Storekeepers and partspersons sort, store and issue parts and supplies for use by the establishment in which they work and for sale to the public. They are employed by manufacturing companies, warehouses, retail and wholesale establishments, mining, forestry and construction companies, repair shops, hospitals and other establishments.;","Storekeepers and partspersons perform some or all of the following duties:;Receive and sort incoming parts and supplies;Store items in an orderly and accessible manner in a warehouse, tool room, supply room or other area;Process incoming requisitions and issue or distribute parts and supplies for internal usage;Maintain records of orders and the amount, kind and location of parts and supplies on hand using manual or computerized inventory system;Prepare requisition orders to replenish parts and supplies;Sell spare and replacement parts for motor vehicles, machinery and equipment in a retail setting;Advise retail customers or internal users on appropriateness of parts, supplies or materials requested.;Partspersons may specialize in a particular line of parts such as automotive parts, recreational vehicle parts, marine parts, heavy equipment parts, agricultural machinery parts, heating, ventilating and air conditioning parts or refrigeration parts.;","Completion of secondary school is usually required.;Completion of a three-year apprenticeship program 

orcompletion of specialized training in high school and a one-year college program for partspersons may be required.;Trade certification for partspersons is available, but voluntary, in all provinces and territories.;Experience in a related clerical occupation, or as a warehouse worker, may be required for partspersons.;Red Seal endorsement is also available to qualified partspersons upon successful completion of the interprovincial Red Seal examination.;","Parts clerks supervisors  (in 1215 Supervisors, supply chain, tracking and scheduling co-ordination occupations);Purchasing and inventory control workers (1524);Shippers and receivers (1521);"
1523,construction progress report clerk; construction schedule co-ordinator; delivery checker; expediter; industrial order completion checking clerk; logistics inbound/outbound co-ordinator-production; lumber tallyman/woman; manufacturing order clerk; material checker; material co-ordinator; material estimator; motor vehicle repair shop co-ordinator; production agent; production clerk; production co-ordinator; production control clerk; production controller; production expediter; production material estimator; production officer; production scheduler; purchasing expediter; recording clerk-broadcasting; schedule clerk; scheduling clerk; service sector worker; shipping control clerk; steel mill control officer; supply chain co-ordinator-production; supply clerk-aeronautics; supply clerk-production; supply needs estimator; tally clerk; tallyman/woman; tallyman/woman-production; traffic clerk; traffic clerk-broadcasting; traffic control clerk; vehicle servicing clerk;  logistics inbound co-ordinator-production; logistics outbound co-ordinator-production; lumber tallyman; lumber tallywoman; tallyman; tallywoman; tallyman-production; tallywoman-production; logistics inbound co-ordinator-production; logistics outbound co-ordinator-production; lumber tallyman; lumber tallywoman; tallyman; tallywoman; tallyman-production; tallywoman-production;,Production logistics co-ordinators;,"Production logistics co-ordinators co-ordinate and expedite the flow of work and materials within an establishment, prepare work and production schedules and monitor the progress of production and construction projects. They are employed by manufacturing and construction companies, printing and publishing companies and other industrial establishments.;","Production logistics co-ordinators perform some or all of the following duties:;Compile detailed worksheets and specifications from customer's order;Estimate type and quantity of materials and labour required for production, construction and other projects;Consult with production supervisor to schedule production runs in a cost and time-efficient manner;Meet regularly with other production clerks, warehouse, production and construction supervisors and purchasing and inventory clerks to co-ordinate activities between warehouses and production floors or construction sites;Co-ordinate and monitor logistics of the movement of parts, supplies and materials within an establishment and ensure that supplies, materials and products are shipped and received on schedule;Prepare and maintain various reports on the progress of work, materials used, rates of production and other production information, using manual or computerized systems.;",Completion of secondary school is usually required and college may be required.;Previous clerical experience or experience as a production worker may be required.;,"Purchasing and inventory control workers (1524);Shippers and receivers (1521);Storekeepers and partspersons (1522);Supervisors, supply chain, tracking and scheduling co-ordination occupations (1215);"
1524,equipment inventory clerk; food and beverage control clerk-inventory; food controller-inventory; inventory analyst; inventory auditor; inventory clerk; inventory control clerk; inventory planner; invoice and purchase order checker; invoice control clerk; liquor controller-inventory; permanent inventory clerk; printing plates order clerk; procurement clerk; purchase order clerk; purchasing clerk; purchasing clerk assistant; purchasing control clerk; ship supply clerk; supply clerk; ,Purchasing and inventory control workers;,"Purchasing and inventory control workers process purchasing transactions and maintain inventories of materials, equipment and stock. They are employed by retail and wholesale establishments, manufacturing companies, government agencies and other establishments.;","Purchasing control workers perform some or all of the following duties:;Review requisition orders for accuracy and verify that materials, equipment and stock are not available from current inventories;Source and obtain price quotations from catalogues and suppliers and prepare purchase orders;Calculate cost of orders and charge or forward invoices to appropriate accounts;Process purchases within purchasing authority;Contact suppliers to schedule deliveries and to resolve shortages, missed deliveries and other problems;Prepare and maintain purchasing files, reports and price lists.;Inventory control workers perform some or all of the following duties:;Monitor inventory levels as materials, equipment and stock are issued, transferred within an establishment or sold to the public using manual or computerized inventory systems;Compile inventory reports, recording the quantity, type and value of materials, equipment and stock on hand, using manual or computerized inventory systems;Prepare requisition orders to replenish materials, equipment and stock;Maintain stock rotation and dispose of and account for outdated stock;Enter data for production scheduling, stock replenishment/relocation and inventory adjustments;Reconcile physical inventories with computer counts.;",Completion of secondary school is usually required.;Courses in purchasing management may be required for purchasing clerks.;Courses in production and inventory management and ability to operate a computerized inventory system may be required for inventory clerks.;,"Purchasing agents and officers (1225);Retail and wholesale buyers (6222);Storekeepers and partspersons (1522);Supervisors of purchasing and inventory clerks  (in 1215 Supervisors, supply chain, tracking and scheduling co-ordination occupations);"
1525,911 dispatcher; airline radio operator; alarm system dispatcher; alarm system operator; ambulance dispatcher; boat dispatcher; car assignments clerk; coal mine car dispatcher; communications officer-emergency services; communications specialist dispatcher; drilling rig radio operator; emergency medical dispatcher; emergency services dispatcher; emergency vehicle dispatcher; fire alarm operator; fire department dispatcher; gas service crew dispatcher; highway radio-telephone operator; inbound/outbound freight co-ordinator; mail service dispatcher; maintenance services dispatcher; mine dispatcher; mobile equipment dispatcher; monitoring station operator; motor vehicle dispatcher; newspaper dispatcher; oil well service dispatcher; pilot services dispatcher; plant dispatcher; police department dispatcher; protective signal operator; radio dispatcher; radio operator; radio-telephone operator; service dispatcher; taxi dispatcher; telecommunications operator; tow truck dispatcher; troubleshooting services dispatcher; truck dispatcher; tugboat dispatcher; utilities maintenance crew dispatcher; water service dispatcher; yard clerk;  inbound freight co-ordinator; outbound freight co-ordinator; inbound freight co-ordinator; outbound freight co-ordinator;,Dispatchers;,"Dispatchers operate radios and other telecommunication equipment to dispatch emergency vehicles and to co-ordinate the activities of drivers and other personnel. They are employed by police, fire and health departments, other emergency service agencies, taxi, delivery and courier services, trucking and utilities companies, and other commercial and industrial establishments.;","Dispatchers perform some or all of the following duties:;Receive requests for emergency assistance or service and contact ambulances, police and fire departments, tow-trucks, and utility crews;Process and transmit information and instructions to co-ordinate the activities of vehicle operators, crews and equipment using a variety of computer-aided communications and dispatching equipment;Dispatch personnel according to written schedules and work orders, or as required by emergency situations;Advise vehicle operators of route and traffic problems such as construction, accidents, congestion, weather conditions, weight and size restrictions and other information;Operate radio equipment to communicate with ships, aircraft, mining crews, offshore oil rigs, logging camps and other remote operations;Monitor personnel workloads and locations;Maintain vehicle operator work records using computerized or manual methods and ensure time sheets and payroll summaries are completed accurately;Maintain computer and manual records of mileage, fuel use, repairs and other expenses, and generate reports.;",Completion of secondary school is required.;Police and emergency dispatchers are required to complete formal on-the-job training. Other dispatchers usually undergo some informal on-the-job training.;Police and emergency dispatchers and other radio operators usually require provincial radio operator's certificates.;,"Air traffic controllers and related occupations (2272);Bus dispatchers  (in 7305 Supervisors, motor transport and other ground transit operators);Railway traffic controllers and marine traffic regulators (2275);Supervisors of dispatchers  (in 1215 Supervisors, supply chain, tracking and scheduling co-ordination occupations);"
1526,air transport schedule analyst; bus scheduler; bus transportation service co-ordinator; crew dispatcher; crew scheduler-aeronautics; crew scheduler-railway transport; crew scheduler-transportation; depot clerk-transit system; flight crew scheduler; flight scheduler; logistics clerk-transportation; rapid transit scheduler; schedule analyst; schedule control clerk; schedule maker; schedule writer; scheduler-transit system; senior schedule writer; subway scheduler; train scheduler; transit planner; transit scheduler; transportation clerk; transportation route scheduler; transportation routes scheduler; transportation schedule clerk; transportation schedule maker; transportation schedules writer; truck scheduler; ,Transportation route and crew schedulers;,"Transportation route and crew schedulers prepare operational and crew schedules for transportation equipment and operating personnel. They are employed by municipal transit commissions, truck, delivery and courier companies, railways, airlines and by other transportation establishments in both the private and public sectors.;","Transportation route and crew schedulers perform some or all of the following duties:;Review schedule requisitions, passenger counts and cargo, running times, distances, personnel availability and other pertinent information to establish schedule parameters;Design new or modify existing schedules using computer software or other methods;Incorporate into route plan factors such as peak travel periods, holidays, special events and construction with emphasis on time and cost efficiency;Assign personnel to equipment and routes and schedule work shifts;Compile equipment and personnel records, including hours in service, distances, maintenance, repairs required and other data, to produce operating reports;May prepare user guides and other public service information.;",Completion of secondary school is required.;Several years of experience in an appropriate transportation sector are usually required.;On-the-job training may be provided.;,"Flight schedulers managers  (in 0731 Managers in transportation);Production schedulers in manufacturing establishments (in 1523 Production logistics co-ordinators);Scheduling technicians in manufacturing  (in 2233 Industrial engineering and manufacturing technologists and technicians);Supervisors of transportation route and crew schedulers (in 1215 Supervisors, supply chain, tracking and scheduling co-ordination occupations);"
2111,X-ray physicist; acoustics physicist; aerodynamicist; aerophysicist; aerospace research scientist; astronomer; astrophysicist; atmospheric physicist; biophysicist; chemical physicist; communications research scientist; cosmic ray physicist; cosmologist; cryogenics physicist; crystal physicist; electricity and magnetism physicist; electronics physicist; electronics research scientist; elementary particle physicist; elementary particle theorist; experimental physicist; fluid physicist; health physicist; high-temperature physicist; laser physicist; low-temperature physicist; magnetism physicist; mathematical biophysicist; mechanics physicist; medical biophysicist; medical engineering biophysicist; medical physicist; metal physicist; metrologist; microwave physicist; molecular biophysicist; nanotechnology physicist; nuclear physicist; nuclear reactor physicist; optics physicist; particle accelerator physicist; particle physicist; photonics physicist; physicist; physics research scientist; plasma physicist; radiation biophysicist; radio astronomer; reactor physicist; remote sensing research scientist; rheologist; semiconductor physicist; solid-state physicist; space physicist; theoretical nuclear physicist; thermal physicist; ,Physicists and astronomers;,"Physicists conduct theoretical and applied research to extend knowledge of natural phenomena and to develop new processes and devices in fields such as electronics, communications, power generation and distribution, aerodynamics, optics and lasers, remote sensing, biotechnology, medicine and health. They are employed by electronic, electrical and aerospace manufacturing companies, telecommunications companies, power utilities, university and government research laboratories, hospitals and by a wide range of other processing, manufacturing, and research and consulting firms. Astronomers conduct observational and theoretical research to extend knowledge of the universe. They are employed by government and universities.;","This group performs some or all of the following duties:;Physicists;Design and conduct research in experimental and theoretical physics;Carry out analysis of research data and prepare research reports;Participate as a member of a research or development team in the design and development of experimental, industrial or medical equipment, instrumentation and procedures.;Physicists may specialize in fields such as aeronomy and space, acoustics, atomic and molecular physics, biophysics, condensed matter or solid state physics, electromagnetics, fluids and aerodynamics, health physics, medical physics, metrology, particle physics, optics and laser physics, nuclear physics and plasma physics.;Astronomers;Design and conduct observational surveys, conduct detailed analyses and develop numerical models to extend knowledge of celestial bodies and cosmic radiation;Develop or participate in the development of instrumentation and software for astronomical observation and analysis.;Astronomers may specialize in fields such as astrophysics, observational or optical astronomy and radio astronomy.;","Physicists usually require a master's or doctoral degree in a field of physics, engineering physics, or in a related discipline.;Astronomers usually require a master's or doctoral degree in astronomy or in a related discipline.;",Architecture and science managers (0212);Atmospheric physicists  (in 2114 Meteorologists and climatologists);Computer engineers (except software engineers and designers) (2147);Geophysicists and physical oceanographers  (in 2113 Geoscientists and oceanographers);
2112,agricultural chemist; agrochemist; analytical biochemist; analytical chemist; atmospheric chemist; bioanalytical chemist; biochemist; biochemistry research scientist; biological chemist; chemical spectroscopist; chemist; chemist-biomolecular assembly; chemistry research scientist; chemistry researcher; clinical chemist; coatings chemist; control chemist; dairy chemist; detergent chemist; dye chemist; electrochemist; environmental chemist; enzyme chemist; fermentologist; food chemist; forensic chemist; glass chemist; hydrochemist; industrial chemist; inorganic chemist; laboratory chemist; leather chemist; medical biochemist; medical chemist; medicinal chemist; nanochemist; nuclear chemist; nuclear magnetic resonance (NMR) spectroscopist; nutritional chemist; oceanographic chemist; optical spectroscopist; organic chemist; organic mass spectrometrist; organometallic chemist; petroleum chemist; pharmaceutical chemist; pharmacological chemist; physical chemist; physical research chemist; physiological chemist; plastics and resins chemist; polymer chemist; process control chemist; protective coatings chemist; protein chemist; quality control chemist; research chemist; soil chemist; standards chemist; textile chemist; theoretical chemist; water chemist; water purification chemist; wood chemist; ,Chemists;,"Chemists conduct research and analysis in support of industrial operations, product and process development, quality control, environmental control, medical diagnosis and treatment, biotechnology, nanotechnology and other applications. They also conduct theoretical, experimental and applied research into basic chemical and biochemical processes to create or synthesize new products and processes. Chemists are employed in research, development and quality control laboratories; chemical, petrochemical and pharmaceutical industries; mineral, metal and pulp and paper industries; and a wide variety of manufacturing, utility, health, educational and government establishments.;","Chemists perform some or all of the following duties:;Analyze, synthesize, purify, modify and characterize chemical or biochemical compounds;Develop and conduct programs of analysis to ensure quality control of raw materials, chemical intermediates or final products;Conduct programs of sample and data collection and analysis to identify and quantify environmental toxicants;Conduct research to develop new chemical formulations and processes and devise new technical applications of industrial chemicals and compounds;Conduct research to discover, develop, refine and evaluate new products such as those used in nanomedicine, nanoelectronics and other applications of chemistry;Conduct fundamental and applied research into the synthesis and properties of chemical compounds and the mechanisms of chemical reactions;Investigate chemical aspects of the mechanisms of drug action, the diagnosis and treatment of disease, organ function and the assessment of health;Participate in interdisciplinary research and development projects working with chemical engineers, biologists, microbiologists, agronomists, geologists or other professionals;Act as technical consultant in a particular field of expertise;May participate in the commercialization of new products;May supervise other chemists and chemical technicians and technologists.;","A bachelor's degree in chemistry, biochemistry or a related discipline is required.;A master's or doctoral degree is usually required for employment as a research chemist.;Licensing by a provincial association of chemists is required in Quebec and Alberta, and available but voluntary, in Nova Scotia, Ontario, Saskatchewan and British Columbia.;",Architecture and science managers (0212);Chemical engineers (2134);Geochemists  (in 2113 Geoscientists and oceanographers);Metallurgists and material scientists  (in 2115 Other professional occupations in physical sciences);Molecular biologists (in 2121 Biologists and related scientists);
2113,biological oceanographer; biostratigrapher; chemical oceanographer; coal geologist; consulting geologist; consulting geophysicist; development geologist; environmental geologist; exploration geologist; exploration geophysicist; fisheries oceanographer; geochemist; geodesist; geological oceanographer; geologist; geomorphologist; geophysicist; glaciologist; groundwater geologist; hydrogeologist; hydrographic surveyor-geology; hydrologist; ice specialist-oceanography; marine geologist; marine geophysicist; micropaleontologist; mine geologist; mineralogist; mining geologist; oceanographer; oil geologist; paleobotanist; paleoecologist; paleontologist; palynologist; petrographer; petroleum geologist; petrologist; petrophysicist; photogeologist; physical oceanographer; placer geologist; prospecting geologist; quaternarist; quaternary scientist; quaternary specialist; remote sensing geologist; sedimentary geologist; sedimentologist; seismologist; stratigrapher; structural geologist; volcanologist; wellsite co-ordinator-geology; ,Geoscientists and oceanographers;,"Geoscientists include geologists, geochemists and geophysicists who conduct programs of exploration and research to extend knowledge of the structure, composition and processes of the earth, to locate, identify and extract hydrocarbon, mineral and groundwater resources and to assess and mitigate the effects of development and waste disposal projects on the environment. Oceanographers conduct programs of exploration and research on ocean processes and phenomena, biological, chemical and physical characteristics of oceans, interactions with atmospheric and geological environments and impacts of human activity on oceans and marine ecosystems. Geoscientists are employed by petroleum and mining companies, consulting geology, geophysics and engineering firms and by governments and educational institutions, or they may be self-employed. Oceanographers are employed by governments, educational institutions and private companies engaged in exploration of seafloor deposits and seafarming areas, or they may be self-employed.;","Geoscientists perform some or all of the following duties:;Conduct theoretical and applied research to extend knowledge of surface and subsurface features of the earth, its history and the operation of physical, chemical and biological systems that control its evolution;Plan, direct and participate in geological, geochemical and geophysical field studies, drilling and geological testing programs;Plan and conduct seismic, geodetic, electromagnetic, magnetic, gravimetric, radiometric, radar and other remote sensing programs;Plan, direct and participate in analyses of geological, geochemical and geophysical survey data, well logs and other test results, maps, notes and cross sections;Develop models and applied software for the analysis and interpretation of data;Plan and conduct analytical studies of core samples, drill cuttings and rock samples to identify chemical, mineral, hydrocarbon and biological composition and to assess depositional environments and geological age;Assess the size, orientation and composition of mineral ore bodies and hydrocarbon deposits;Identify deposits of construction materials and determine their characteristics and suitability for use as concrete aggregates, road fill or for other applications;Conduct geological and geophysical studies for regional development and advise in areas such as site selection, waste management and restoration of contaminated sites;Recommend the acquisition of lands, exploration and mapping programs and mine development;Identify and advise on anticipated natural risks such as slope erosion, landslides, soil instability, subsidence, earthquakes and volcanic eruptions;May supervise and co-ordinate well drilling, completion and work-overs and mining activities.;Geologists may specialize in fields such as coal geology, environmental geology, geochronology, hydrogeology, mineral deposits or mining, petroleum geology, stratigraphy, tectonics, volcanology or in other fields.;Geochemists may specialize in analytical geochemistry, hydrogeochemistry, mineral or petroleum geochemistry or in other fields.;Geophysicists may specialize in areas, such as petroleum geology, earth physics, geodesy, geoelectromagnetism, seismology or in other fields.;Oceanographers perform some or all of the following duties:;Conduct theoretical and applied oceanographic research programs and expeditions to extend knowledge of the physical, chemical and biological properties and functioning of oceans;Plan, direct and participate in sampling and analysis of seawater, plankton, fish, sediments and rocks;Study physical properties of oceans to develop models, charts and computer simulations of ocean conditions, such as tides, waves, currents and sediment transport;Explore ocean floor and submarine geological structures, conduct seismic surveys and study formation of ocean basins and other structures to map ocean floor, coastal erosion, sediment accumulation and areas for offshore oil and gas exploration;Plan and conduct investigations on ocean chemical properties and processes, ocean floor and marine atmosphere and undersea volcanoes to study impacts of environmental changes;Study marine life and interaction with physical and chemical environments to assess impacts of pollutants on marine ecology and to develop ecologically-based methods of seafarming.;Oceanographers may specialize in biological, chemical, geological or physical oceanography, or in other fields related to the study of oceans.;","Geoscientists require a university degree in geology, geochemistry, geophysics or a related discipline.;A master's or doctoral degree in geophysics, physics, mathematics or engineering may be required for employment as a geophysicist.;Registration with a provincial or territorial association of professional engineers, geologists, geophysicists or geoscientists is usually required for employment and is mandatory to practice in all provinces and territories except Prince Edward Island and the Yukon.;Geologists and geophysicists are eligible for registration following graduation from an accredited educational program and after several years of supervised work experience and, in some provinces, after passing a professional practice examination.;Oceanographers require a university degree in science, mathematics, statistics or engineering and usually require a graduate degree in oceanography.;",Architecture and science managers (0212);Biologists and related scientists (2121);Chemists (2112);Geological engineers (2144);Managers in natural resources production and fishing (0811);Physicists and astronomers (2111);
2114,agricultural meteorologist; air quality meteorologist; applied meteorologist; climatologist; hydrometeorologist; industrial meteorologist; meteorologist; operational meteorologist; paleometeorologist; physical meteorologist; synoptic meteorologist; weather forecaster; ,Meteorologists and climatologists;,"Meteorologists and climatologists analyze and forecast weather, provide consultation on atmospheric phenomena and conduct research into the processes and phenomena of weather, climate and atmosphere. They are employed by all levels of government, natural resources and utility companies, the media and private consulting firms, or they may be self-employed.;","Meteorologists and climatologists perform some or all of the following duties:;Analyze and interpret data obtained from meteorological stations, radar and satellite imagery and computer model output;Produce weather forecasts and provide weather consulting services for industries such as aviation, marine, agriculture and tourism, and to the general public;Disseminate weather forecasts and reports to the general public through a variety of media including radio, television, print and the Internet;Conduct research and provide consultation on the processes and determinants of atmospheric phenomena, weather and climate, atmospheric dispersion, and physical and chemical transformation of pollutants;Develop and test mathematical computer models of weather and climate for experimental or operational use;Analyze the impact of industrial projects and human activity on the climate and quality of the air and work with the social science, engineering and economic communities to develop appropriate mitigation strategies;Participate in studies of the effect of weather on the environment;Provide consultation and advice to outside agencies, professionals, or researchers regarding the use and interpretation of climatological information;Make scientific presentations, publish reports, articles or popular texts for specialists, users or the general public;May engage in the design and development of new equipment and procedures for meteorological data collection, remote sensing, or for related applications.;","A bachelor's or master's degree in meteorology, atmospheric sciences or in a related field is required.;A doctoral degree is usually required for employment as a research scientist in meteorology.;Formal training is provided by Environment Canada for operational meteorologists employed by the federal government.;Membership in the Canadian Meteorological and Oceanographic Society is available, but voluntary, for qualified meteorologists.;",Announcers who broadcast weather forecasts  (in 5231 Announcers and other broadcasters);
2115,astronaut; ballistician; ballistics examiner; cosmonaut; extractive metallurgist; firearms examiner; firearms expert; hydrometallurgist; materials engineering scientist; materials scientist; metallographer; metallurgist; pedologist; physical metallurgist; pyrometallurgist; research metallurgist; research scientist-ceramics; research scientist-composite materials; soil scientist; ,Other professional occupations in physical sciences;,"This group includes metallurgists, soil scientists and physical scientists and researchers, not elsewhere classified, involved in the conduct of theoretical and applied research in fields of physical science. They are employed by governments, educational institutions and a wide range of industrial establishments.;","The following is a summary of the main duties for some occupations in this unit group:;Metallurgists;Conduct studies into the properties and production of metals and alloys.;Soil scientists;Conduct research into the composition, distribution and evolution of soils.;Material scientists;Conduct research into the properties, composition and production of materials such as ceramics and composite materials.;Astronauts;Command, pilot or serve as crew members of a spacecraft to conduct scientific experiments and research, and participate in space missions as mission specialists to maintain spacecraft, install and repair space station equipment and launch and recapture satellites.;","A bachelor's degree in metallurgy, physics, chemistry, or a related physical science discipline is required.;A master's or doctoral degree is usually required for employment as a research scientist.;Advanced degrees in a broad range of applied science areas, such as engineering or medicine
 orlicences may be required for some occupations in this unit group.;","Air pilots, flight engineers and flying instructors (2271);Architecture and science managers (0212);Chemists (2112);Metallurgical and materials engineers (2142);"
2121,agricultural scientist; agrogeologist; algologist; anatomist; animal ecologist; animal geneticist; animal nutritionist; animal taxonomist; apiculture entomologist; aquatic biologist; astrobiologist; bacteriologist; bacteriologist-animal health; bioinformatician; biological scientist; biologist; biology systematist; biology taxonomist; biomedical nanotechnology research scientist; botanist; bryologist; cell biologist; cellular physiologist; crop scientist; crop-research scientist; cytochemist; cytogeneticist; cytologist; cytologist-microbiologist; dairy bacteriologist; dairy scientist; descriptive toxicologist; developmental biologist; developmental geneticist; domestic animal scientist; ecobiologist; ecologist; economic botanist; embryologist; entomologist; environmental and occupational toxicologist; environmental biologist; environmental toxicologist; enzymologist; enzymology biologist; etiologist; extraction specialist-cannabis; fishery bacteriologist; fishery products bacteriologist; food bacteriologist; food products bacteriologist; food products scientist; food research scientist; food scientist; forest ecologist; forest pathologist; geneticist; helminthologist; herpetologist; histologist; histopathologist; human physiologist; hydrobiologist; ichthyologist; immunologist; industrial bacteriologist; insect physiologist; interpretative naturalist; invertebrate zoologist; laboratory immunologist; limnologist; malariologist; mammalogist; marine biologist; marine hydrobiologist; marine mammal trainer; mechanistic toxicologist; medical parasitology biologist; microbiologist; molecular biologist; molecular geneticist; molecular physiologist; mycologist; naturalist; nematologist; ornithologist; osteologist; parasitologist; parasitology biologist; park naturalist; pharmaceutical bacteriologist; pharmacologist; physiological biophysicist; physiologist; physiologist-biochemist-nuclear medicine; phytobiologist; phytopathologist; plant anatomist; plant breeder; plant ecologist; plant nematologist; plant pathologist; plant physiologist; plant population biologist; plant scientist; plant taxonomist; population geneticist; poultry scientist; protozoologist; protozoology biologist; public health bacteriologist; regulatory toxicologist; research biologist; rural ecologist; serologist; soil bacteriologist; staff toxicologist; systems biologist; toxicologist; veterinary parasitology biologist; virologist; wildlife biologist; wildlife helminthologist; wildlife naturalist; zoologist; ,Biologists and related scientists;,"Biologists and related scientists conduct basic and applied research to extend knowledge of living organisms, to manage natural resources, and to develop new practices and products related to medicine and agriculture. They are employed in both laboratory and field settings by governments, environmental consulting companies, resource and utilities companies, chemical, pharmaceutical and biotechnical companies and health and educational institutions.;","This group performs some or all of the following duties:;Biologists;Plan and conduct studies of the environment, and of the population, distribution, structure and functional characteristics and behaviour of plants and animals;Conduct ecological and environmental impact studies and prepare reports;Study, identify and classify plant and animal specimens;Conduct experiments in plant or animal growth, heredity and breeding;Prepare reports and plans for management of renewable resources;May supervise biological technologists and technicians and other scientists.;Microbiologists and cell and molecular biologists;Conduct research into the structure, function, ecology, biotechnology and genetics of micro-organisms, including bacteria, fungi, protozoans, and algae;Conduct research into the structure and functioning of human, animal and plant tissues and cells;Conduct studies into the identification, effects and control of human, plant and animal pathogens and toxins;Conduct clinical or laboratory studies to test, evaluate and screen drugs, pharmaceuticals and nanoparticles used in biomedical applications;Conduct molecular or biochemical studies and experiments in genetic expression, gene manipulation and recombinant DNA technology to develop new or alternative methods of producing products;Conduct research in biotechnology to discover, develop and refine, and evaluate new products;May participate in the commercialization of new products;May supervise biological technologists and technicians and other scientists;May conduct biostatistical data analysis using computer modelling techniques.;Biologists and related scientists may specialize at the macroscopic level, in fields such as botany, zoology, ecology and marine biology or, at the cellular and molecular level, in fields such as genetics, immunology, pharmacology, toxicology, physiology, pathology, bacteriology, virology, biotechnology and bioinformatics.;",A bachelor's degree in biology or in a related discipline is required for biologists.;A master's or doctoral degree in biology or a related discipline is required for employment as a research scientist in biology.;Post-doctoral research experience is usually required before employment in academic departments or research institutions.;Biologists are regulated in Alberta and British Columbia.;,Architecture and science managers (0212);Biochemists  (in 2112 Chemists);Specialists in laboratory medicine  (in 3111 Specialist physicians);Clinical immunologists (in 3111 Specialist physicians);
