input,code,v4_pred
HIGH SCHOOL TEACHER,4031,'4031
CASUAL BUS DRIVER (SCHOOL BUS),7512,'7305
FIREFIGHTER AND ENGINEER,4312,'2223
RECREATION AND SPORT CONSULTANT,4167,'4167
APPAREL PROCESSOR,6622,'6421
MILITARY OFFICER,433,'4168
TV PRODUCER,5131,'9523
LINESMEN,7244,'7335
EDUCATIONAL ASSISTANCE,4033,'4413
BABYSITTER,4411,'4411
DOCUMENT MANAGEMENT SPECIALIST,1122,'0911
FINANCIAL DEVELOPMEN OFFICER,1311,'0016
ACTUARIAL ANALYST,2161,'2161
UPHOLSTERER,6345,'6345
GLOBAL PURCHASING PROCESS OWNER,"1215, 0016",'0111
MECHANICAL AUTOMOTIVE TECHNICIAN,7321,'7301
ARCHAEOLOGIST,4169,'4169
COMPLIANCE ANALYST,4423,'1122
FRAUD INVESTIGATER,1312,'1228
MEDICAL MAGNETIC RESONANCE TECHNOLOGIST,3215,'3215
SCHOOL BUS DRIVER,7512,'7512
WELDER/FITTER,7237,'7237
CYTOTECHNOLOGIST,3211,'3211
FREIGHT FORWARDER,1521,'0731
LEADING POWERLINE TECHNICIAN,7202,'7244
VICTIM SERVICES COORDINATOR,4212,'4168
CARPENTER,7271,'7271
DIE CUTTER,"9473, 9619",'7232
HEAVY MACHIENE OPERATOR,7521,'7521
BIOSTATISTICIAN,2161,'2161
X-RAY TECHNOLOGIST,3215,'3211
INTERNATIONAL CONSULTANT,4164,'4164
TAXI DRIVER,7513,'7513
CASTING DIRECTOR,5131,'5131
PROGRAM COORDINATOR,423,'2233
DEPUTY MINISTER OF GOV'T DEPARTMENT,12,'9211
IRON WORKER,7236,'7236
KNOWLEDGE TRANSLATION SPECIALIST,5125,'2263
GOLF COURSE MAINTENANCE,8612,'8612
TAX COMPLIANCE OFFICER,1435,'4423
ECOLOGIST IN OFFICE AND OUTSIDE,2121,'1411
COLLEGE LIBRARIAN,5111,'4214
FIELD ASSESSOR,1314,'1228
CUSTODIAN,6733,'6733
PRESIDENT,13,'3112
COUNSELLOR CHILD/ YOUTH,4212,'4212
EMPLOYMENT COUNCELLOR,4156,'4156
HOME VISITOR,4212,'4412
COMPENSATION ANALYST,1121,'4164
GAS TECHNICIAN II,7253,'7253
IMPORT ANALYST,"1521, 1315",'1315
INFORMATION SYSTEMS COORDINATOR,1252,'7244
SNOWPLOW OPERATOR,"7522, 7621",'0731
STOCK HANDLER,3414,'1521
"DND (SIGNAL OPERATOR, ADMINISTRATIVE)",433,'0011
SHEET METAL FOREMAN,7201,'7205
GROUP BENEFIT INSURANCE UNDERWRITER,1313,'1313
NEWSPAPER EDITOR,5122,'5122
ART CONSERVATOR,5112,'5112
INTERVIEWER,"1223, 1454",'1454
COMMERCIAL PAINTER,7294,'7294
CUSTODIAM,6733,'7305
GIS OFFICER,2255,'4168
VIDEO GAME PROGRAMMER,2174,'0512
FLIGHT ENGINEER,433,'2271
PRESSMAN,7381,'7381
GAS FITTER,7253,'7253
MARKETING ASSOCIATE,1123,'4163
INTELLIGENCE OFFICER,4311,'4168
SOFTWARE ENGINEER,2173,'2173
DRYWALLER,7284,'7205
FEDERAL FOOD INSPECTOR,2263,'4168
SONOGRAPHER,3216,'3216
BEAUTY ADVISOR,6421,'2263
GROUT PLANT UNDERGROUND,8614,'7611
ASSET MANAGER,"0113, 0111",'0125
CLIENT CARE MANAGER,6551,'4412
CLASSROOM TEACHER,403,'4413
MAYOR,11,'0011
PHOTOGRAPHER,5221,'5221
ADULT LITERACY PRACTITIONER,4031,'0413
PLANT OPERATOR,9232,'9232
DAY CARE WORKER,4214,'4214
WEATHER OBSERVER,2255,'2255
BROKER AGENT,6232,'0121
MORTGAGE SALES,"1114, 6235",'6235
RESIDENTIAL CONTRACTOR,712,'0712
EMPLOYMENT AND TRAINING OFFICER,4156,'1121
SURVEY CREW CHIEF,2154,'2223
ELECTRICIAL ENGINEER (PROFESSIONAL),2133,'2133
FINANCIAL ANALYST,1112,'1112
CUSTOMER SERVICE AGENT,6552,'6552
CAREER COUNCELOR,4156,'4156
PERSONAL FITNESS TRAINER,5254,'5254
COLLISION TECH,7322,'7322
QUALIFIED CUSTOMS BROKER,1315,'1315
PLANT TISSUE CULTURE TECHNICIAN,2221,'2223
CRAFTSPERSON,5244,'5244
FUNERAL DIRECTOR,6346,'6346
ADMNISTRATIVE SUPPORT,1411,'0311
ENGINEERING CONSULTANT,"213, 214",'2131
RECREATION THERAPY ASSOCIATE,3414,'3144
OFFICE ADMIMISTRATER,1221,'1221
PARALEGAL,4211,'4211
ARBORIST,2225,'2225
PSYCHIATRIST,3111,'3111
OPERATIONS MANAGER,91,'0731
INSURANCE SPECIALIST (OFFICE CLERK),1434,'1411
SAFETY ADVISOR,2264,'2263
CONSTABLE,4311,'4311
FOREPERSON,7204,'7204
WEB DESIGNER,2175,'2175
R.N,3012,'3012
NUTRITIONIST,3132,'3132
LUNCH LADY,6711,'4413
MASTER KILTMAKER,5244,'7302
SECURITY GAURD,6541,'6541
SCAFOLDER,7611,'7611
DRAFTING SUPERVISOR,2253,'2253
COLLECTION OFFICER,1435,'1228
BLACKSMITH,5244,'7384
VETERINARIAN,3114,'3114
EVALUATION MANAGER,4161,'0112
CLINICAL DIETITIAN,3132,'3132
OCEANOGRAPHIC DATA CONSULTANT,2113,'4164
MEDICAL LAB ASSISTANT,3212,'3212
CEO,14,'0014
USHER,"6742, 6722",'6742
LAWN CARE & GROUNDS MAINTAINENCE,8612,'8612
CLEANER,6731,'6731
ENTREPRENEUR,6221,'7313
MENTOR,4033,'4214
FLOOR SUPERVISOR DIGITAL PRINT SHOP,7303,'4021
DIETICTIAN,3132,'3132
HVAC,7313,'7301
NAVAL COMBAT SERVICES ENGINEER,433,'4313
CHIEF ESTIMATOR,2234,'2234
MILL OPERATION,"9231, 9411",'9417
CAREER DEVELOPMENT LIASION OFFICER,4156,'0423
HYGIENE AND SECURITY COORDINATOR,4165,'0014
UNIVERSITY PROFESOR,4011,'4011
FINANCIAL PLANNER,1114,'1114
ACADEMIC PHYSICIAN,311,'3111
BEHAVIOURAL THERAPIST,4151,'4151
BUSINESS SUPPORT ANALYST,"1122, 2171",'2282
PRISON GUARD,4422,'4422
OPERATIONS OFFICER,"0731, 1221",'1221
PROJECT CO-ORDINATOR,1221,'0711
ELECTRICAL MAINTENANCE,724,'7531
MENTAL HEALTH THERAPIST,"4153, 4212",'4153
CUSTOMER CARE CONSULTANT,6552,'4021
INFORMATION SYSTEMS MANAGER,213,'0213
REALTOR - SELLS REAL ESTATE,6232,'6232
BUDGET MANAGER,111,'0111
KINDERGARDEN TEACHER,4032,'4032
LIGHT VEHICLE TECHNICIAN,7321,'7321
BACK DOOR RECEIVER,1521,'6421
AEROSPACE TRAINING FACILITATOR,2146,'2146
ARCHITECT,2151,'2151
EXPEDITING STOCK,3414,'3413
DATABASE ADMINISTRATOR,2172,'2172
CROP SPECIALIST HORTICULTURE,2123,'2123
CONFERENCE SERVICES MANAGER,1226,'0125
AQUATIC SCIENCE TECHNICIAN,2221,'2221
ADVANCED CARE PARAMEDIC,3234,'3234
EQUIPMENT OPERATOR,7534,'7534
HAIRSTYLISTS,6341,'6341
CAFETERIA SUPERVISOR,6311,'6311
JAIL GUARD,4422,'4422
PROFESSIONAL COACH,5252,'5252
RECRUITER,1223,'1223
DOG TRAINER,6563,'6563
CAMP GROUND ATTENDANT,6722,'6722
INFORMATION MANAGEMENT SPECIALIST,1253,'1122
MARINE SURVEYOR,2262,'2262
AIRLINE CHECK-IN AGENT,6523,'6523
AGROLOGIST,2123,'2123
PILOT,2271,'2271
INDUSTRIAL MECHANIC (MILLWRIGHT),7311,'7311
BANKRUPTCY TRUSTEE,1111,'1111
OUTREACH WORKER,4212,'4212
AUTOMOTIVE MECHANIC,7321,'7321
DIAGNOTIC IMAGING TECHNOLOGIST,3215,'3215
SWITCH BOARD OPERATOR,1211,'1414
"DRESSMAKER, TAILOR",6342,'6342
MERCHANDISING ANALYST,"0113, 1112",'1212
DAILY STOCK TRADER,1113,'1113
SALES AND SERVICE COORDINATOR,6623,'7246
CITY LIBRAIAN,5111,'1213
ADVERTISING COORDINATOR,1123,'6221
PHYSITHERAPIST,3142,'3142
CLAIMS  ADJUDICATOR,1312,'1228
TRAFFIC ENGINEER,2131,'2131
ANESTHESIOLOGIST,3111,'3111
SAW MILL WORKER,9431,'9614
PENSION BENEFIT ADVISOR,1432,'1432
CAR SALEMAN,6421,'7322
PROFESSIONAL TRUCK DRIVER,"7511, 7521",'4021
IT NETWORK ADMINISTRATOR,2281,'2281
JOINER,7271,'9446
TISSUE BANK SPECIALIST,3211,'0311
HOSPITAL PORTER,3413,'3413
INVESTMENT ADVISOR,1114,'1114
FIRE CHIEF,432,'0432
DATA ENTRY OPERATOR,1422,'1422
REHAB CASE MANAGER,"4153, 4212",'3143
DIETARY - AIDE,"3413, 3132",'6711
DIRECTOR OF RESEARCH,"4163, 0124",'0212
ENFORCEMENT OFFICER,"6541, 4311",'1228
PORDUCTION MANAGER,911,'0911
"DETATCHMENT SERVICES CLERK, RCMP DETATCHMENT",1411,'0431
PAYROLL BENEFITS,1432,'1432
PRICING SUPERVISOR,731,'7303
HISTORIC SITES OFFICER,511,'5212
LAUNDRY ATTENDANT,6741,'6741
ADDICTION COUNSELLOR,4153,'4153
DELIVERY DRIVER,7511,'7514
TITLE OFFICER,4211,'1434
SHEET METAL JOURNEYMAN,7233,'7233
TRIAL COORDINATOR,1227,'2233
DND DRIVER,4216,'4168
REIKI MASTER TEACHER,6564,'4021
PHYSICIAN,3112,'3112
AUTISM SUPPORT WORKER,"4212, 4153",'8252
BIOLOGIST,2121,'2121
ENGRAVER,5244,'9472
LIFEGUARD AT A POOL,5254,'5254
OFFICE ADMINISTRATOR,1221,'1221
SERVICE SUPPORT ADMINISTRATOR,6552,'0114
SPEECH PATHOLOGIST,3141,'3141
REGISTRAR III,1227,'4168
LANDSCAPER,2225,'2225
ADMINISTRATION MANAGER,"0114, 0911",'0114
MOBILE CRANE OPERATOR,7371,'7371
CYTOGENETIC TECHNOLOGIST,3211,'3211
LIBRARIAN,5111,'5111
REGISTERED DIETITION,3132,'3132
CROWN ATTORNEY,4112,'4112
COPY EDITOR,5122,'5122
FAMILY PRACTICE NURSE,3012,'3012
MILK MAN,7514,'7514
GENETIC COUNSELLOR,4153,'4153
WAREHOUSE COORDINATOR,1215,'0015
YOUTH WORKER,4212,'4212
REISTER RESPIRATORY THERAPIST,3214,'3214
FOOD SERVICE SUPERVISOR,6311,'6311
LIVESTOCK DEVELOPMENT OFFICER,"2123, 0212",'8252
PLUMBER,7251,'7251
TRUSTEE,11,'0011
SANDWICH ARTIST,6711,'6711
911 DISPATCHER,1525,'1525
OPTICIAN,3231,'3231
CIVIL TECHNOLOGIST,2231,'2231
ACCOUNTING CLERK,1431,'1431
HUMAN RESOURCE STRATEGIST,1121,'4168
HOSPITAL CLERK,1411,'1414
PAROLE BOARD MEMBER,4168,'4168
NUCLEAR MEDICINE TECHNOLOGIST,3215,'3215
BROADCAST JOURNALIST,5123,'5123
INTERIOR DESIGNER,5242,'5242
ECONOMIST,4162,'4162
POWER SYSTEM OPERATOR,9241,'9241
HANDYMAN,6733,'6733
RADIO NEWS ANCHOR,5123,'5123
DISTRICT ASSISTANT,"1241, 0431",'0422
APPLIED BEHAVIOURAL ANALYSYS THERAPIST,4151,'3012
SOFTWARE CONSULTANT,2171,'2171
DEFENCE AND SECURITY CONSULTANT,6541,'6541
DRIVER LICENSE EXAMINER,4216,'4216
FOREST RANGER - WILDLIFE CONSERVATION,2223,'2223
MARINE CAPTAIN,7533,'8221
WAIT STAFF,6711,'1121
GROUP FITNESS INSTRUCTOR,5254,'0513
ADMINISTRATIVE ASSISTANT - OFFICE,1241,'1241
COMPUTER PROGRAM TESTER,2283,'0411
PERSONAL CARE WORKER,4412,'4212
FORESTRY TECHNICIAN - FOREST RANGER,2223,'2223
PHELMBOTOMIST,3212,'3212
GROUND KEEPER,8612,'8612
AVIATION MANAGER,731,'0421
DEPUTY SHERIFF,4421,'4421
PEER MENTOR,4212,'4168
DEBT SOLUTIONS COUNSELLOR,6235,'0111
CHIROPRACTOR,3122,'3122
